NO2(ppb),Pressure,Temperature,Humidity,WindSpeed,WindDirections,TrafficCounts,DieselCounts,GasselCounts
65.095,100.8,28.78,25,2.061,211.472,23,17,6
68.944,100.8,28.8,25.2,2.56,225,20,11,8
72.532,100.8,28.74,25.6,1.905,194.185,18,6,12
67.704,100.8,28.74,25.2,2.28,225,15,6,9
66.302,100.8,28.76,25.4,1.738,229.546,12,7,5
71.908,100.8,28.86,26,2.16,226.421,23,14,8
71.703,100.8,28.8,26,2.101,224.791,14,4,9
58.706,100.8,28.68,26,2.531,236.868,19,8,11
67.133,100.8,28.52,26.2,2.141,233.429,20,12,8
71.176,100.78,28.5,26,2.315,228.792,12,6,5
71.7,100.72,28.5,26,2.155,229.073,11,6,5
67.418,100.7,28.4,26,2.511,229.02,27,12,15
71.693,100.7,28.32,26,2.035,229.313,18,8,10
66.85,100.7,28.38,26,1.533,228.721,16,4,11
64.643,100.7,28.32,26,1.744,227.516,13,4,8
74.566,100.7,28.32,26,1.878,226.634,17,12,4
74.285,100.7,28.34,26.2,2.2,247.5,17,8,9
63.546,100.7,28.3,26,2.22,225,15,5,10
74.655,100.74,28.26,26,2.44,225,22,8,14
66.588,100.8,28.12,26.4,2.12,221.896,22,11,10
61.34,100.8,28.06,26.8,2.173,220.556,23,11,12
62.43,100.8,28,27,1.515,231.671,22,9,12
70.403,100.78,27.98,27,2.054,229.487,13,3,9
59.236,100.8,27.8,27,2.189,230.418,19,11,8
68.163,100.74,27.78,27.4,1.878,226.634,27,12,15
65.528,100.78,27.62,28,2.366,219.618,21,10,10
71.402,100.8,27.5,28,2,225,17,2,14
69.774,100.8,27.4,28,1.659,229.498,17,3,14
74.407,100.8,27.32,28,1.526,228.164,14,5,7
64.616,100.8,27.32,28,1.805,214.741,18,6,12
73.073,100.8,27.3,28,1.5,227.047,17,11,6
79.986,100.8,27.34,28,1.02,211.997,16,12,3
70.552,100.8,27.18,28,1.184,229.819,21,8,10
71.518,100.8,27.1,28.4,1.126,220.714,18,9,8
72.985,100.8,27.1,29,0.692,233.91,22,9,13
71.73,100.8,27,29,0.844,223.44,12,5,7
65.925,100.8,26.78,29.2,0.902,214.741,17,7,8
70.224,100.8,26.7,29.8,0.885,240.547,20,9,11
63.755,100.8,26.36,30.4,0.784,230.601,15,8,6
72.054,100.8,26.2,31,0.351,226.629,13,6,7
77.548,100.8,26.2,31,0.513,212.67,24,7,16
68.024,100.8,26.3,30,0.464,207.742,22,14,7
75.088,100.8,26.34,30,0.282,245.032,12,5,6
77.016,100.8,26.14,31,0.13,239.752,9,4,4
70.18,100.8,25.94,31,0.155,275.242,12,10,1
70.216,100.8,25.9,31.6,0.154,278.128,12,3,8
78.905,100.8,25.72,32,0.02,315,17,11,6
76.26,100.8,25.36,32.2,0,0,13,6,6
68.952,100.8,25.14,33,0,0,15,6,9
83.814,100.8,24.98,33.6,0.02,292.5,17,11,6
72.778,100.8,25.2,32.4,0.375,252.181,18,9,8
68.81,100.8,25.5,32,0.275,229.303,12,7,5
68.236,100.8,25.5,32.2,0.137,238.316,22,14,7
73.982,100.8,25.44,32.6,0.315,240.516,13,6,7
76.664,100.8,25.3,33.4,0.635,182.765,9,5,3
73.453,100.8,25.3,34.6,0.3,231.282,13,6,7
78.24,100.8,25.1,34.8,0.257,266.591,15,5,9
79.213,100.8,24.9,36.2,0.291,249.4,17,10,7
87.708,100.8,24.92,34.8,0.186,222.643,19,11,8
78.94,100.82,24.88,34.4,0.308,237.923,16,9,6
81.314,100.9,24.8,34.6,0.356,245.035,11,7,4
84.24,100.9,24.74,34,0.253,263.042,10,2,8
85.664,100.9,24.62,35.2,0.04,270,9,3,5
96.107,100.9,24.18,36.4,0,0,11,4,6
110.126,100.9,23.5,37.6,0.099,85.556,12,8,4
92.157,100.9,23.08,39,0.04,90,17,9,7
98.996,100.9,22.66,40,0,0,6,1,4
80.017,100.9,22.56,40,0,0,10,7,3
83.894,100.9,22.64,39.4,0,0,14,10,4
85.94,100.9,22.52,40,0.039,56.25,16,8,8
86.842,100.9,22.3,40.4,0.02,45,13,7,6
77.718,100.9,22.3,40.8,0,0,10,6,4
70.682,100.9,22.54,40,0,0,11,5,5
53.742,100.8,28.3,31.4,0.935,259.678,13,8,5
35.753,100.8,28.5,31,1.476,285.648,16,7,8
69.25,100.8,28.42,30.4,1.624,269.73,17,11,6
58.585,100.8,28.52,30.4,1.403,274.381,14,9,5
38.324,100.8,28.64,28.4,1.737,287.698,16,6,9
35.058,100.8,29.02,28.2,1.357,277.128,8,5,2
52.197,100.8,29.38,28,1.08,284.355,14,7,5
33.702,100.8,29.7,27.6,0.716,306.397,15,9,5
32.67,100.8,30.28,24.6,1.577,285.986,22,9,12
29.815,100.8,30.14,24.8,1.347,279.485,25,14,11
21.505,100.8,30.06,24,1.409,250.925,13,8,3
40.406,100.8,29.94,25,1.327,282.872,19,10,9
23.67,100.8,30.36,24.4,1.127,265.181,18,9,9
19.118,100.8,30.94,22.8,1.079,279.386,19,12,7
35.34,100.8,31.18,23,1.315,276.163,8,7,1
26.434,100.8,30.62,24.2,1.78,270,13,3,9
31.237,100.8,30.62,24,1.259,285.516,15,7,7
58.262,100.8,31.3,23.8,0.876,323.608,16,9,7
27.895,100.8,32,23,0.83,304.955,21,16,5
53.17,100.8,31.72,23.4,1.329,238.316,23,12,11
50.573,100.8,31.78,23,1.47,291.009,10,6,4
42.976,100.8,32.08,22,1.296,292,13,7,5
48.608,100.76,32.02,22.2,1.389,291.484,14,9,4
43.794,100.8,32.44,22,0.983,6.675,17,8,8
46.74,100.78,33.16,22,1.079,31.886,13,9,3
50.726,100.8,33.02,21.6,1.705,45.772,18,10,8
50.927,100.8,32.96,22,1.15,41.539,24,14,9
46.552,100.8,33.38,21.6,0.752,334.817,16,13,3
52.813,100.8,33.38,22,1.263,359.524,21,9,12
47.432,100.8,33.96,21.2,0.801,7.138,11,10,1
51.528,100.8,34.02,21,0.774,336.187,22,10,11
42.691,100.7,34.24,21.2,0.495,324.196,13,5,8
47.682,100.7,34.96,20.2,0.812,350.141,18,7,9
41.056,100.7,34.94,20.4,0.868,9.766,14,11,3
43.305,100.7,34.84,20.4,0.683,3.854,15,8,7
50.89,100.7,34.62,20.4,1.007,0.871,14,8,6
50.388,100.7,34.7,21,1.14,26.533,11,8,3
58.532,100.7,34.4,21,0.807,352.688,19,3,15
52.162,100.7,34.48,20.8,0.778,17.629,16,10,5
36.602,100.7,34.8,21,1.463,37.263,13,6,7
52.052,100.7,34.16,21.2,1.98,45,22,13,9
47.73,100.7,34.28,21.6,1.502,36.657,17,10,7
21.523,100.7,34.68,21,1.349,333.594,14,10,4
51.048,100.7,34.28,21.4,1.325,336.603,13,6,7
55.433,100.7,34.22,21.4,1.666,307.078,17,9,8
52.234,100.7,34.1,21.4,1.027,286.941,14,6,8
64.938,100.7,33.7,22,1.893,287.397,7,3,4
41.872,100.7,33.98,22,1.052,294.739,12,8,4
65.012,100.7,34.48,22,0.967,315.592,13,7,6
74.48,100.62,34.58,22,0.514,318.166,15,6,8
58.002,100.6,35.28,21,1.236,43.935,8,6,2
63.48,100.6,35.02,21.8,1.677,55.114,10,8,2
35.415,100.6,35.18,21.4,1.703,42.94,11,5,4
61.555,100.6,35.3,21.6,0.774,4.535,13,9,2
56.518,100.6,35.32,22,1.16,322.112,18,12,6
55.858,100.6,35.34,22,2.027,37.381,7,3,4
54.4,100.6,35.3,22,1.139,3.08,13,6,7
52.598,100.6,35.22,22.4,2.248,39.727,23,7,16
61.592,100.6,35.28,22.8,1.66,44.472,24,7,16
51.83,100.6,35,23,1.554,346.329,15,4,9
61.187,100.6,35.4,23,0.959,316.68,7,3,4
60.632,100.6,35.84,23,0.97,344.1,13,8,4
65.072,100.6,35.82,23,1.865,35.789,11,7,3
74.08,100.58,35.74,23,1.717,52.169,21,10,10
56.363,100.5,35.5,23.2,2.287,73.07,16,10,5
63.638,100.5,35.56,23.4,1.046,33.918,15,11,4
66.62,100.5,35.56,23.4,0.497,29.308,13,8,5
57.763,100.5,35.9,23,0.246,236.339,10,6,4
78.852,100.5,35.8,23.4,2.296,80.6,15,12,2
56.784,100.5,35.48,23.4,1.019,79.442,18,10,8
62.878,100.5,35.72,23.8,0.565,356.119,15,8,6
57.054,100.5,36.44,23,0.863,70.042,18,10,6
50.087,100.5,36.08,23,0.666,177.365,6,2,4
73.008,100.5,36.02,23.4,0.517,122.315,16,7,9
69.423,100.5,36.26,23,0.655,6.202,8,6,2
65.662,100.5,36.44,23,0.699,352.216,15,8,7
70.095,100.5,36.3,23,1.09,310.972,14,8,6
61.086,100.5,36.54,22.8,0.721,343.59,20,12,7
73.308,100.5,36.32,23.4,0.216,112.81,19,10,7
82.242,100.5,36.14,24.2,0.999,95.352,14,5,8
71.334,100.5,35.48,24,1.774,69.973,8,3,5
69.583,100.5,35.56,24,2.429,62.983,19,11,7
68.966,100.5,35.66,24,2.257,54.17,19,9,10
66.663,100.5,35.66,23.6,2.026,69.665,17,8,9
63.59,100.5,35.5,23.4,1.238,38.648,12,5,6
72.102,100.5,36.06,23,1.307,70.857,19,7,8
68.798,100.5,35.8,23,2.414,80.695,19,12,7
60.953,100.5,35.56,23.4,1.323,71.148,27,17,10
54.378,100.5,35.46,23.2,1.644,48.202,13,6,6
64.225,100.5,35.3,23.6,1.222,72.172,21,7,12
72.454,100.5,35.16,23.8,0.785,80.459,18,7,9
64.817,100.5,35.2,23,1.864,57.809,11,6,4
60.938,100.5,35.08,23,1.26,45,19,12,5
71.785,100.5,34.86,23,2.18,45,13,6,6
69.404,100.5,34.82,22.8,1.491,55.051,14,8,5
50.208,100.5,34.92,23,1.458,61.472,15,6,9
48.906,100.5,34.74,23.2,1.207,41.365,17,10,6
65.378,100.5,35.02,23,1.24,51.737,16,8,7
70.726,100.5,35,23.2,2.092,72.326,16,9,7
58.95,100.5,34.3,24,1.76,90,15,5,10
59.556,100.5,34,24.2,1.648,79.564,20,9,10
70.972,100.5,33.88,24,1.845,76.811,18,9,7
50.458,100.5,33.86,24,1.88,67.5,20,8,10
57.85,100.5,33.88,24,2.156,86.133,18,5,12
75.984,100.5,33.76,24,2.08,76.815,24,11,11
51.997,100.5,33.64,24,2.297,86.561,19,11,7
63.27,100.5,33.6,23.2,2.119,78.117,14,6,7
65.507,100.5,33.58,23,1.74,67.5,16,7,8
64.384,100.5,33.42,23,1.618,72.386,25,7,17
60.87,100.5,33.3,23,2.24,67.5,21,7,13
59.7,100.5,33.3,23,2.316,86.4,22,8,12
68.425,100.5,33.24,23.6,1.579,72.507,23,8,14
67.966,100.5,33.06,24,1.925,81.771,21,6,13
70.583,100.5,32.86,24.2,1.413,76.535,25,8,16
62.986,100.5,32.74,25,1.198,76.323,15,5,10
71.865,100.5,32.66,25,1.544,86.591,19,12,6
56.296,100.5,32.54,25,1.561,85.783,33,14,16
64.965,100.5,32.38,26,1.522,85.964,15,5,9
64.402,100.5,32.18,26,1.433,80.779,12,4,8
51.72,100.5,31.94,26.2,1.3,90,17,9,8
67.414,100.5,31.78,27,1.7,90,13,9,4
63.48,100.5,31.5,27.4,1.22,90,21,11,9
61.89,100.5,31.2,28,0.876,88.498,20,7,13
62.77,100.5,30.94,29,0.237,84.43,16,7,8
59.572,100.5,30.58,29.8,0.234,71.244,18,6,11
66.998,100.58,30.28,30,0.134,54.839,17,3,14
66.164,100.6,30.2,30.2,0.197,74.201,15,12,3
63.747,100.6,30.14,30.8,0.373,76.951,15,3,12
60.306,100.6,29.94,31,0.471,76.851,12,7,5
62.183,100.6,29.66,31.2,0.632,72.366,17,4,12
63.81,100.6,29.14,32,0.726,76.595,14,8,6
70.643,100.6,28.54,33,0.351,69.998,15,7,8
50.592,100.6,28.4,33.2,0.68,90,14,6,8
69.793,100.6,28.5,32.8,1.68,90,16,11,5
78.246,100.6,29.2,32,0.758,76.206,12,7,5
79.423,100.64,29.4,32,0.863,77.714,17,11,5
77.57,100.7,29.28,32,1.028,85.729,14,9,5
75.843,100.7,29.08,33,0.962,76.658,15,9,6
83.542,100.7,28.88,33.4,0.549,71.494,22,12,9
77.468,100.7,28.8,34,0.295,52.457,16,5,10
86.228,100.7,28.66,34,0.594,63.804,8,5,2
85.127,100.7,28.6,34,0.234,28.143,6,3,3
78.866,100.7,28.54,34,0.471,59.097,12,10,2
80.522,100.7,28.28,34.8,0.205,45.326,14,8,6
80.552,100.7,28.1,35,0.3,46.46,14,7,6
81.722,100.7,27.92,35.2,0.309,43.583,14,8,5
81.494,100.7,27.74,35.8,0.35,41.24,10,3,7
83.99,100.7,27.66,36,0.58,78.926,7,5,2
85.5,100.8,27.48,35.8,0.457,65.581,12,7,4
80.895,100.8,27.46,35,0.558,63.571,7,5,2
87.302,100.8,27.42,35,0.225,53.274,6,5,1
91.258,100.8,27.4,35,0.274,45,10,5,5
14.292,101.1,30.02,30.6,0.57,152.221,13,7,5
12.768,101.1,29.48,30,1.181,167.581,12,6,6
15.011,101.06,29.5,30.6,0.83,153.27,17,8,9
12.383,101,29.8,30.6,0.507,130.933,14,8,5
14.234,101,30.48,29.6,0.826,164.417,22,13,8
12.912,101,30.38,28.6,0.752,157.956,21,12,9
10.72,101.04,30.86,28.2,0.5,90,16,11,4
13.239,101,31.7,26.6,0.821,162.73,14,7,7
11.963,101,31.42,26.4,0.389,146.113,17,9,8
11.779,101,31.88,26.2,0.348,105.304,23,16,6
11.985,101.04,31.84,25.6,0.652,137.377,21,13,8
12.034,101.08,32,26,0.593,69.156,13,10,3
12.167,101.04,32.26,25.4,0.574,96.363,14,8,6
12.005,101,32.94,24.8,0.505,98.642,20,14,6
13.318,101.02,32.6,25,1.276,77.172,17,9,7
10.772,101,31.78,25.2,1.121,76.029,18,10,6
10.577,101,31.92,25,0.272,108.789,21,9,11
10.913,101,32.1,24.6,1.662,86.585,24,14,10
12.632,101,31.66,26,0.8,122.381,20,8,12
10.845,101,31.52,25,0.73,130.225,8,4,4
11.315,101,31.74,25.8,0.8,111.535,13,9,3
12.11,101,32.36,25.2,0.407,131.867,18,10,5
10.862,101,32.26,24.6,0.326,140.385,10,6,3
12.384,101,32.2,25.6,0.468,62.808,22,10,10
11.947,101,32.16,25.8,0.409,91.4,9,3,4
11.535,101,31.88,25.8,0.345,45.963,18,10,6
11.63,101,32.12,25.8,0.321,84.415,15,10,5
11.352,101,31.92,25.4,0.424,107.119,17,10,6
12.593,101,31.92,26,0.701,83.756,16,4,9
12.837,101,31.44,26.8,0.605,79.234,18,12,4
12.784,101,31.4,27,0.484,77.033,15,7,8
11.805,101,31.76,25.8,0.641,145.281,15,11,4
11.497,101,31.76,26.2,0.32,149.724,12,8,4
11.878,101,31.72,26.2,0.794,149.68,20,9,10
11.449,101,31.3,25.6,1.94,180,9,4,5
10.839,101,30.9,25.8,1.567,177.2,9,6,3
11.899,101,30.9,25.6,1.642,184.01,12,8,3
12.09,101,30.92,25.2,1.88,180,17,11,5
11.025,101,30.92,25,1.68,180,10,8,1
11.441,101,30.96,25.2,0.781,169.958,17,12,4
11.111,101,31.4,25.4,0.621,171.613,9,6,2
11.839,101,31.32,25.6,1.295,169.441,15,9,6
11.185,101,31.22,24.8,1.234,159.408,14,13,1
11.823,101,31.04,25,1.005,157.303,11,8,3
12.115,101,31.06,25.6,0.237,141.938,13,8,2
11.17,101,31.38,25.4,0.67,165.179,13,5,7
12.029,101,31.4,24.8,0.79,161.423,18,12,6
11.566,101,31.34,24.6,1.232,159.636,14,9,5
11.131,101,31.38,25.2,0.554,140.252,11,9,1
11.446,101,31.8,24.2,1.224,175.338,10,8,1
11.259,101,31.66,24.6,0.452,160.57,39,7,30
11.222,101,32.18,24.8,0.756,158.619,41,6,29
11.372,101,32.1,24,1.065,165.761,15,8,6
11.507,101,32,24.8,0.466,78.611,9,6,2
13.386,101,31.88,25,0.652,142.013,14,7,7
11.347,101,31.82,24.4,0.659,169.825,14,4,8
10.488,101,31.38,24.4,1.98,180,10,3,6
11.035,100.98,31.1,25,1.769,181.983,18,11,7
10.803,100.92,31.24,25.6,0.749,132.374,13,10,3
12.29,100.9,31.5,25.6,0.791,140.676,18,8,8
12.197,100.9,31.9,25.6,0.374,133.106,26,6,19
10.629,100.9,31.66,24.6,0.67,142.621,16,10,6
11.692,100.9,31.66,25.8,0.308,147.03,15,9,6
10.774,100.9,31.74,26,0.442,114.723,8,2,6
11.775,100.9,31.48,25.4,0.409,145.53,9,7,2
12.524,100.9,31.56,25.8,0.298,102.871,8,5,2
10.732,100.94,31.34,25.4,0.816,170.371,10,3,7
10.864,100.94,31.12,25.6,0.345,102.936,15,5,7
11.091,100.94,30.94,26,0.513,147.682,23,12,10
11.442,100.98,30.82,25.2,0.99,176.453,21,10,8
11.301,100.96,30.72,25,1.228,174.441,17,10,7
12.719,100.98,30.7,26.8,0.188,49.659,9,8,1
11.166,100.98,30.6,27.2,0.238,29.331,15,8,6
10.646,100.96,30.54,25.6,0.601,162.954,11,5,6
11.11,100.9,30.44,26.8,0.565,128.593,20,15,4
10.68,100.98,30.46,26.2,0.845,164.821,16,10,5
12.124,100.96,30.4,26.2,1.046,159.597,20,13,6
11.68,101,30.48,26.8,0.072,146.19,14,11,2
10.895,101,30.52,27,0.204,65.628,16,6,9
10.597,100.96,30.32,26,0.241,109.166,15,8,7
10.761,100.9,30.16,26.2,0.143,69.236,22,8,11
11.018,100.9,30.06,26.4,0.084,131.895,13,8,4
11.894,100.9,29.78,27.4,0.08,45,17,10,6
11.783,100.9,29.58,28,0.107,41.515,11,5,6
12.43,100.9,29.4,28.6,0.04,337.5,21,5,14
11.843,100.9,29.4,29,0.072,123.69,18,12,5
11.116,100.9,29.3,28.2,0.082,83.169,20,11,9
11.76,100.9,29.3,28,0.33,148.597,20,8,10
12.599,100.9,29.32,28.8,0.037,22.5,13,5,6
12.893,100.9,29.34,29,0.045,85.935,13,7,6
12.395,100.9,29.34,29.2,0.057,22.5,17,6,11
11.183,100.9,29.4,28.6,0.247,143.436,17,10,6
11.414,100.9,29.4,29.2,0.112,79.248,18,9,7
10.557,100.9,29.48,29.2,0.078,33.75,24,17,7
12.597,100.92,29.52,29.6,0.051,336.194,14,9,5
11.214,100.96,29.68,29.6,0.02,45,17,14,3
11.596,101,29.62,30,0.02,45,20,6,14
13.545,101,29.64,30,0,0,16,12,3
11.569,101,29.42,29.4,0.056,14.639,21,5,15
11.885,101,29.12,30,0.059,37.543,19,14,5
11.564,101,28.88,30.6,0,0,22,12,8
13.21,101,28.66,31.2,0.089,35.876,17,13,2
12.639,100.96,28.48,31,0.13,19.114,27,12,12
11.97,100.96,28.32,31.6,0.135,61.482,20,9,9
13.202,100.94,28.14,32,0.076,50.794,26,13,12
12.477,100.92,28.02,32,0.075,34.201,20,9,10
12.487,100.9,27.96,32,0.262,64.153,17,8,7
12.323,100.9,27.82,32.8,0.189,65.185,15,8,7
11.592,101,27.7,33,0.095,31.758,24,14,7
12.961,101,27.7,33,0,0,29,10,15
11.199,101,27.62,33.2,0.095,54.258,21,6,15
13.163,101,27.54,33.8,0.098,53.972,17,7,10
13.061,101,27.42,34,0.248,71.035,21,12,7
12.462,101,27.28,34.2,0.138,61.123,14,7,6
13.712,101,27.2,34.4,0.02,22.5,20,8,11
12.943,101,27.14,35,0.086,31.156,18,9,8
13.317,101,26.98,35,0.039,56.25,26,16,10
12.485,101,26.78,36,0.078,56.25,14,11,3
14.017,101,26.62,36,0.151,44.558,18,10,7
13.81,101,26.5,36,0.292,82.698,16,9,7
12.416,101,26.4,36,0.079,28.07,17,8,9
12.24,101,26.28,36,0.099,18.056,14,8,6
12.474,101,26.18,36.4,0.039,33.75,12,10,2
14.474,101,26.06,36.6,0.02,0,17,9,7
11.493,101,26.1,36.4,0.04,67.5,15,7,8
11.851,101,26.14,36.8,0.02,67.5,13,8,4
12.784,101,26.02,37,0.04,45,11,6,5
12.415,101,25.74,38,0.17,64.912,13,4,9
13.043,101,25.54,39,0.095,31.043,17,12,5
13.135,101,25.5,39,0.1,45,15,6,9
13.528,101,25.56,38.4,0.154,53.569,6,4,2
12.228,101,25.52,38.8,0.289,69.015,16,7,9
12.803,101,25.5,38.66667,0.262,56.25,19,8,11
80.862,101.1,23.46,69.2,1.82,90,16,4,11
72.748,101.1,23.64,69.6,0.26,88.925,19,9,9
79.48,101.1,24.2,67.4,0.628,78.75,15,8,7
84.928,101.1,24.24,67,0.824,82.026,19,15,2
78.922,101.1,23.98,67.4,1.72,90,12,9,3
85.052,101.1,24,67.8,0.855,80.439,16,7,8
104.136,101.1,24.06,67.4,0.726,80.29,12,10,1
87.907,101.1,24.48,66.2,0.184,83.634,20,8,11
96.12,101.1,24.7,64.8,0.561,158.4,20,6,14
80.275,101.1,24.7,65,0.173,85.477,15,9,5
70.85,101.1,24.86,64.4,0.194,92.006,13,6,7
115.78,101.1,25.18,63.8,0.291,58.177,19,8,10
113.356,101.1,25.1,63.2,0.442,114.249,17,13,4
142.91,101.1,25.04,64,0.279,60.235,21,12,7
96.794,101.1,25.36,62.6,0.294,120.372,14,12,2
97.867,101.1,25,63.4,0.455,73.437,14,8,6
71.854,101.1,24.94,64.4,0.368,64.752,19,9,8
72.398,101.1,24.86,63.8,0.406,83.077,14,7,6
102.886,101.1,25.08,63.2,0.277,151.036,15,5,10
81.92,101.1,25.16,63,1.053,92.083,16,10,6
95.278,101.1,25.06,63.6,0.232,65.313,20,10,9
87.983,101.1,25.7,61.8,0.371,109.645,14,8,3
110.918,101.1,25.8,60.8,0.496,110.194,15,8,5
130.702,101.1,25.6,61,0.656,158.837,15,8,7
74.023,101.1,25.64,61,0.297,68.078,23,11,12
84.248,101.08,26.58,58.6,0.149,60.367,9,5,4
81.397,101.1,26.88,57,0.383,130.773,14,9,4
82.488,101.1,26.48,57.2,0.42,166.042,17,9,8
89.267,101.1,26.42,58.2,0.406,122,16,12,3
88.722,101.08,26.68,57.2,0.29,160.186,9,6,3
72.54,101.02,26.52,57.4,0.684,153.943,17,9,6
84.814,101,26.56,57.6,0.574,168.062,16,14,2
76.245,101,26.36,57.6,0.797,162.546,18,9,9
83.41,101,26.36,58,0.778,208.145,11,8,3
70.88,101,25.88,58.8,0.8,157.5,17,13,3
93.072,101,25.96,58.2,0.23,149.59,6,3,3
121.38,101,26.22,57,1.396,187.244,19,6,13
85.182,101,25.9,58.6,0.671,168.25,10,4,5
89.767,101,26.24,58.2,1.429,191.358,7,3,4
79.946,101,25.88,59.2,1.653,186.647,6,5,1
74.21,101,25.86,59.8,0.489,169.683,17,10,7
96.054,101,25.66,59.8,1.138,186.862,17,9,6
100.275,101,25.66,59.8,0.988,182.665,13,8,4
77.488,101,25.86,60,0.68,178.315,18,10,6
95.84,101,25.84,60.2,0.612,172.638,19,8,9
85.03,101,25.74,60.6,0.43,169.906,23,8,13
99.905,101,25.64,60.2,0.605,161.195,11,5,4
93.436,101,25.46,61.2,0.72,188.161,18,12,5
96.825,101,25.64,61.6,0.1,202.5,26,11,13
73.82,101,25.8,60,0.435,156.57,14,10,3
89.242,101,25.78,60.2,0.425,159.255,13,5,7
81.972,101,25.64,60.2,0.647,145.905,10,6,3
89.272,101,25.5,61.4,0.766,178.942,12,5,7
80.006,101,25.72,61.8,0.221,148.998,16,9,7
80.373,101,25.98,60,0.38,147.787,14,6,8
87.47,101,25.86,59.8,0.149,149.352,21,7,13
95.18,101,26.06,60,0.337,166.858,19,11,8
79.996,101,26.3,57.8,0.396,183.323,14,10,4
87.05,101,26.72,57.8,0.189,98.642,16,7,9
70.854,101,26.68,57.8,0.457,126.752,26,9,16
90.847,101,26.54,57.6,0.586,177.055,12,6,5
89.252,101,26.22,58.4,0.444,152.163,13,6,6
86.355,101,26.06,58.2,0.808,185.433,13,5,8
81.534,101,25.9,58.6,1.491,189.751,16,10,5
86.947,101,25.8,58.8,0.888,184.944,16,7,9
86.576,101,25.98,58.8,0.454,184.488,16,7,9
96.98,101,26.12,58,0.656,171.8,16,12,3
106.858,101,26.48,57.4,0.605,56.676,12,5,7
88.205,101,26.3,57.2,0.48,170.959,17,7,9
78.262,101,26.12,57.8,0.546,164.935,16,8,7
94.168,101,26,57.8,0.385,171.043,20,11,9
83.342,101,25.98,58,0.226,162.533,19,9,10
91.913,101,26.28,58.4,0.04,45,15,14,1
86.456,101,26.28,57.2,0.13,87.133,17,7,8
92.725,101,26.46,57,0.089,58.376,14,6,7
95.532,101,26.34,57,0.152,50.794,16,11,5
89.592,101,26.22,57,0.067,167.881,17,9,7
81.74,101,26.18,57.4,0.169,133.233,7,4,3
75.077,101,26.04,58,0.076,28.294,18,9,9
74.24,101,26.1,57.6,0.146,116.808,15,12,2
90.523,101,25.98,59.2,0.02,0,17,6,11
70.056,101,26.1,58.6,0.056,37.139,18,11,6
74.42,101,26.02,58.4,0.112,52.861,17,9,6
72.972,100.98,26.14,58,0.078,56.25,13,3,8
76.638,101,26.02,58,0.234,128.421,20,10,9
70.65,101,25.94,57.8,0.344,175.649,17,10,5
78.663,101,26,58,0.098,58.528,16,10,5
78.774,101,26.02,57.6,0.241,161.849,17,9,8
73.57,100.96,25.96,58,0.02,45,26,8,15
86.242,100.9,26.02,57.8,0.319,146.991,25,10,13
81.692,101,26.04,58,0.055,93.151,18,8,7
76.57,100.96,26.06,58,0.619,162.571,21,7,13
81.223,101,25.9,58,0.321,162.232,15,5,10
77.588,100.96,25.84,58.4,0.16,135.408,21,9,11
85.768,100.96,25.88,58.4,0.057,135,33,13,18
71.804,100.9,25.96,57.6,0.355,148.314,21,6,13
85.583,100.9,26.08,57,0.313,126.996,16,9,5
80.598,100.9,25.98,57,0.328,119.611,21,7,12
79.202,100.94,25.8,58,0.156,137.135,22,9,13
80.93,100.98,25.68,58,0.487,157.226,20,13,6
