CO(ppm),Pressure,Temperature,Humidity,WindSpeed,WindDirections,TrafficCounts,DieselCounts,GasselCounts
0.778,100.8,30.62,24.2,1.78,270,13,3,9
0.812,100.8,30.62,24,1.259,285.516,15,7,7
0.836,100.8,31.3,23.8,0.876,323.608,16,9,7
0.843,100.8,32,23,0.83,304.955,21,16,5
0.758,100.8,31.72,23.4,1.329,238.316,23,12,11
0.842,100.8,31.78,23,1.47,291.009,10,6,4
0.868,100.8,32.08,22,1.296,292,13,7,5
0.837,100.76,32.02,22.2,1.389,291.484,14,9,4
0.872,100.8,32.44,22,0.983,6.675,17,8,8
0.875,100.78,33.16,22,1.079,31.886,13,9,3
0.876,100.8,33.02,21.6,1.705,45.772,18,10,8
0.868,100.8,32.96,22,1.15,41.539,24,14,9
0.852,100.8,33.38,21.6,0.752,334.817,16,13,3
0.847,100.8,33.38,22,1.263,359.524,21,9,12
0.848,100.8,33.96,21.2,0.801,7.138,11,10,1
0.83,100.8,34.02,21,0.774,336.187,22,10,11
0.818,100.7,34.24,21.2,0.495,324.196,13,5,8
0.798,100.7,34.96,20.2,0.812,350.141,18,7,9
0.812,100.7,34.94,20.4,0.868,9.766,14,11,3
0.818,100.7,34.84,20.4,0.683,3.854,15,8,7
0.852,100.7,34.62,20.4,1.007,0.871,14,8,6
0.855,100.7,34.7,21,1.14,26.533,11,8,3
0.856,100.7,34.4,21,0.807,352.688,19,3,15
0.868,100.7,34.48,20.8,0.778,17.629,16,10,5
0.876,100.7,34.8,21,1.463,37.263,13,6,7
0.873,100.7,34.16,21.2,1.98,45,22,13,9
0.87,100.7,34.28,21.6,1.502,36.657,17,10,7
0.872,100.7,34.68,21,1.349,333.594,14,10,4
0.86,100.7,34.28,21.4,1.325,336.603,13,6,7
0.858,100.7,34.22,21.4,1.666,307.078,17,9,8
0.858,100.7,34.1,21.4,1.027,286.941,14,6,8
0.835,100.7,33.7,22,1.893,287.397,7,3,4
0.812,100.7,33.98,22,1.052,294.739,12,8,4
0.842,100.7,34.48,22,0.967,315.592,13,7,6
0.786,100.62,34.58,22,0.514,318.166,15,6,8
0.85,100.6,35.28,21,1.236,43.935,8,6,2
0.832,100.6,35.02,21.8,1.677,55.114,10,8,2
0.845,100.6,35.18,21.4,1.703,42.94,11,5,4
0.79,100.6,35.3,21.6,0.774,4.535,13,9,2
0.807,100.6,35.32,22,1.16,322.112,18,12,6
0.828,100.6,35.34,22,2.027,37.381,7,3,4
0.827,100.6,35.3,22,1.139,3.08,13,6,7
0.834,100.6,35.22,22.4,2.248,39.727,23,7,16
0.808,100.6,35.28,22.8,1.66,44.472,24,7,16
0.804,100.6,35,23,1.554,346.329,15,4,9
0.787,100.6,35.4,23,0.959,316.68,7,3,4
0.786,100.6,35.84,23,0.97,344.1,13,8,4
0.783,100.6,35.82,23,1.865,35.789,11,7,3
0.76,100.58,35.74,23,1.717,52.169,21,10,10
0.767,100.5,35.5,23.2,2.287,73.07,16,10,5
0.734,100.5,35.56,23.4,1.046,33.918,15,11,4
0.732,100.5,35.56,23.4,0.497,29.308,13,8,5
0.73,100.5,35.9,23,0.246,236.339,10,6,4
0.738,100.5,35.8,23.4,2.296,80.6,15,12,2
0.732,100.5,35.48,23.4,1.019,79.442,18,10,8
0.722,100.5,35.72,23.8,0.565,356.119,15,8,6
0.728,100.5,36.44,23,0.863,70.042,18,10,6
0.71,100.5,36.08,23,0.666,177.365,6,2,4
0.714,100.5,36.02,23.4,0.517,122.315,16,7,9
0.72,100.5,36.26,23,0.655,6.202,8,6,2
0.722,100.5,36.44,23,0.699,352.216,15,8,7
0.688,100.5,36.3,23,1.09,310.972,14,8,6
0.712,100.5,36.54,22.8,0.721,343.59,20,12,7
0.707,100.5,36.32,23.4,0.216,112.81,19,10,7
0.74,100.5,36.14,24.2,0.999,95.352,14,5,8
0.728,100.5,35.48,24,1.774,69.973,8,3,5
0.728,100.5,35.56,24,2.429,62.983,19,11,7
0.722,100.5,35.66,24,2.257,54.17,19,9,10
0.727,100.5,35.66,23.6,2.026,69.665,17,8,9
0.728,100.5,35.5,23.4,1.238,38.648,12,5,6
0.735,100.5,36.06,23,1.307,70.857,19,7,8
0.73,100.5,35.8,23,2.414,80.695,19,12,7
0.732,100.5,35.56,23.4,1.323,71.148,27,17,10
0.728,100.5,35.46,23.2,1.644,48.202,13,6,6
0.728,100.5,35.3,23.6,1.222,72.172,21,7,12
0.738,100.5,35.16,23.8,0.785,80.459,18,7,9
0.738,100.5,35.2,23,1.864,57.809,11,6,4
0.752,100.5,35.08,23,1.26,45,19,12,5
0.753,100.5,34.86,23,2.18,45,13,6,6
0.77,100.5,34.82,22.8,1.491,55.051,14,8,5
0.757,100.5,34.92,23,1.458,61.472,15,6,9
0.758,100.5,34.74,23.2,1.207,41.365,17,10,6
0.73,100.5,35.02,23,1.24,51.737,16,8,7
0.73,100.5,35,23.2,2.092,72.326,16,9,7
0.73,100.5,34.3,24,1.76,90,15,5,10
0.742,100.5,34,24.2,1.648,79.564,20,9,10
0.758,100.5,33.88,24,1.845,76.811,18,9,7
0.754,100.5,33.86,24,1.88,67.5,20,8,10
0.758,100.5,33.88,24,2.156,86.133,18,5,12
0.75,100.5,33.76,24,2.08,76.815,24,11,11
0.767,100.5,33.64,24,2.297,86.561,19,11,7
0.778,100.5,33.6,23.2,2.119,78.117,14,6,7
0.792,100.5,33.58,23,1.74,67.5,16,7,8
0.79,100.5,33.42,23,1.618,72.386,25,7,17
0.792,100.5,33.3,23,2.24,67.5,21,7,13
0.78,100.5,33.3,23,2.316,86.4,22,8,12
0.773,100.5,33.24,23.6,1.579,72.507,23,8,14
0.768,100.5,33.06,24,1.925,81.771,21,6,13
0.73,100.5,32.86,24.2,1.413,76.535,25,8,16
0.72,100.5,32.74,25,1.198,76.323,15,5,10
0.697,100.5,32.66,25,1.544,86.591,19,12,6
0.684,100.5,32.54,25,1.561,85.783,33,14,16
0.668,100.5,32.38,26,1.522,85.964,15,5,9
0.658,100.5,32.18,26,1.433,80.779,12,4,8
0.68,100.5,31.94,26.2,1.3,90,17,9,8
0.708,100.5,31.78,27,1.7,90,13,9,4
0.718,100.5,31.5,27.4,1.22,90,21,11,9
0.72,100.5,31.2,28,0.876,88.498,20,7,13
0.715,100.5,30.94,29,0.237,84.43,16,7,8
0.722,100.5,30.58,29.8,0.234,71.244,18,6,11
0.72,100.58,30.28,30,0.134,54.839,17,3,14
0.71,100.6,30.2,30.2,0.197,74.201,15,12,3
0.68,100.6,30.14,30.8,0.373,76.951,15,3,12
0.67,100.6,29.94,31,0.471,76.851,12,7,5
0.673,100.6,29.66,31.2,0.632,72.366,17,4,12
0.668,100.6,29.14,32,0.726,76.595,14,8,6
0.677,100.6,28.54,33,0.351,69.998,15,7,8
0.666,100.6,28.4,33.2,0.68,90,14,6,8
0.692,100.6,28.5,32.8,1.68,90,16,11,5
0.702,100.6,29.2,32,0.758,76.206,12,7,5
0.695,100.64,29.4,32,0.863,77.714,17,11,5
0.708,100.7,29.28,32,1.028,85.729,14,9,5
0.702,100.7,29.08,33,0.962,76.658,15,9,6
0.708,100.7,28.88,33.4,0.549,71.494,22,12,9
0.71,100.7,28.8,34,0.295,52.457,16,5,10
0.712,100.7,28.66,34,0.594,63.804,8,5,2
0.727,100.7,28.6,34,0.234,28.143,6,3,3
0.728,100.7,28.54,34,0.471,59.097,12,10,2
0.73,100.7,28.28,34.8,0.205,45.326,14,8,6
0.728,100.7,28.1,35,0.3,46.46,14,7,6
0.735,100.7,27.92,35.2,0.309,43.583,14,8,5
0.742,100.7,27.74,35.8,0.35,41.24,10,3,7
0.752,100.7,27.66,36,0.58,78.926,7,5,2
0.754,100.8,27.48,35.8,0.457,65.581,12,7,4
0.757,100.8,27.46,35,0.558,63.571,7,5,2
0.77,100.8,27.42,35,0.225,53.274,6,5,1
0.79,100.8,27.4,35,0.274,45,10,5,5
0.826,101.1,30.02,30.6,0.57,152.221,13,7,5
0.833,101.1,29.48,30,1.181,167.581,12,6,6
0.78,101.06,29.5,30.6,0.83,153.27,17,8,9
0.843,101,29.8,30.6,0.507,130.933,14,8,5
0.846,101,30.48,29.6,0.826,164.417,22,13,8
0.817,101,30.38,28.6,0.752,157.956,21,12,9
0.864,101.04,30.86,28.2,0.5,90,16,11,4
0.852,101,31.7,26.6,0.821,162.73,14,7,7
0.848,101,31.42,26.4,0.389,146.113,17,9,8
0.843,101,31.88,26.2,0.348,105.304,23,16,6
0.812,101.04,31.84,25.6,0.652,137.377,21,13,8
0.822,101.08,32,26,0.593,69.156,13,10,3
0.816,101.04,32.26,25.4,0.574,96.363,14,8,6
0.843,101,32.94,24.8,0.505,98.642,20,14,6
0.84,101.02,32.6,25,1.276,77.172,17,9,7
0.838,101,31.78,25.2,1.121,76.029,18,10,6
0.802,101,31.92,25,0.272,108.789,21,9,11
0.807,101,32.1,24.6,1.662,86.585,24,14,10
0.81,101,31.66,26,0.8,122.381,20,8,12
0.807,101,31.52,25,0.73,130.225,8,4,4
0.8,101,31.74,25.8,0.8,111.535,13,9,3
0.808,101,32.36,25.2,0.407,131.867,18,10,5
0.812,101,32.26,24.6,0.326,140.385,10,6,3
0.792,101,32.2,25.6,0.468,62.808,22,10,10
0.85,101,32.16,25.8,0.409,91.4,9,3,4
0.847,101,31.88,25.8,0.345,45.963,18,10,6
0.802,101,32.12,25.8,0.321,84.415,15,10,5
0.83,101,31.92,25.4,0.424,107.119,17,10,6
0.836,101,31.92,26,0.701,83.756,16,4,9
0.828,101,31.44,26.8,0.605,79.234,18,12,4
0.826,101,31.4,27,0.484,77.033,15,7,8
0.817,101,31.76,25.8,0.641,145.281,15,11,4
0.828,101,31.76,26.2,0.32,149.724,12,8,4
0.818,101,31.72,26.2,0.794,149.68,20,9,10
0.836,101,31.3,25.6,1.94,180,9,4,5
0.813,101,30.9,25.8,1.567,177.2,9,6,3
0.792,101,30.9,25.6,1.642,184.01,12,8,3
0.81,101,30.92,25.2,1.88,180,17,11,5
0.832,101,30.92,25,1.68,180,10,8,1
0.815,101,30.96,25.2,0.781,169.958,17,12,4
0.832,101,31.4,25.4,0.621,171.613,9,6,2
0.778,101,31.32,25.6,1.295,169.441,15,9,6
0.832,101,31.22,24.8,1.234,159.408,14,13,1
0.845,101,31.04,25,1.005,157.303,11,8,3
0.854,101,31.06,25.6,0.237,141.938,13,8,2
0.848,101,31.38,25.4,0.67,165.179,13,5,7
0.84,101,31.4,24.8,0.79,161.423,18,12,6
0.84,101,31.34,24.6,1.232,159.636,14,9,5
0.828,101,31.38,25.2,0.554,140.252,11,9,1
0.84,101,31.8,24.2,1.224,175.338,10,8,1
0.822,101,31.66,24.6,0.452,160.57,39,7,30
0.828,101,32.18,24.8,0.756,158.619,41,6,29
0.828,101,32.1,24,1.065,165.761,15,8,6
0.85,101,32,24.8,0.466,78.611,9,6,2
0.83,101,31.88,25,0.652,142.013,14,7,7
0.858,101,31.82,24.4,0.659,169.825,14,4,8
0.842,101,31.38,24.4,1.98,180,10,3,6
0.815,100.98,31.1,25,1.769,181.983,18,11,7
0.84,100.92,31.24,25.6,0.749,132.374,13,10,3
0.848,100.9,31.5,25.6,0.791,140.676,18,8,8
0.852,100.9,31.9,25.6,0.374,133.106,26,6,19
0.755,100.9,31.66,24.6,0.67,142.621,16,10,6
0.848,100.9,31.66,25.8,0.308,147.03,15,9,6
0.845,100.9,31.74,26,0.442,114.723,8,2,6
0.856,100.9,31.48,25.4,0.409,145.53,9,7,2
0.842,100.9,31.56,25.8,0.298,102.871,8,5,2
0.868,100.94,31.34,25.4,0.816,170.371,10,3,7
0.877,100.94,31.12,25.6,0.345,102.936,15,5,7
0.86,100.94,30.94,26,0.513,147.682,23,12,10
0.842,100.98,30.82,25.2,0.99,176.453,21,10,8
0.802,100.96,30.72,25,1.228,174.441,17,10,7
0.837,100.98,30.7,26.8,0.188,49.659,9,8,1
0.874,100.98,30.6,27.2,0.238,29.331,15,8,6
0.875,100.96,30.54,25.6,0.601,162.954,11,5,6
0.872,100.9,30.44,26.8,0.565,128.593,20,15,4
0.862,100.98,30.46,26.2,0.845,164.821,16,10,5
0.778,100.96,30.4,26.2,1.046,159.597,20,13,6
0.834,101,30.48,26.8,0.072,146.19,14,11,2
0.867,101,30.52,27,0.204,65.628,16,6,9
0.882,100.96,30.32,26,0.241,109.166,15,8,7
0.878,100.9,30.16,26.2,0.143,69.236,22,8,11
0.878,100.9,30.06,26.4,0.084,131.895,13,8,4
0.883,100.9,29.78,27.4,0.08,45,17,10,6
0.89,100.9,29.58,28,0.107,41.515,11,5,6
0.883,100.9,29.4,28.6,0.04,337.5,21,5,14
0.86,100.9,29.4,29,0.072,123.69,18,12,5
0.835,100.9,29.3,28.2,0.082,83.169,20,11,9
0.812,100.9,29.3,28,0.33,148.597,20,8,10
0.83,100.9,29.32,28.8,0.037,22.5,13,5,6
0.846,100.9,29.34,29,0.045,85.935,13,7,6
0.823,100.9,29.34,29.2,0.057,22.5,17,6,11
0.846,100.9,29.4,28.6,0.247,143.436,17,10,6
0.852,100.9,29.4,29.2,0.112,79.248,18,9,7
0.85,100.9,29.48,29.2,0.078,33.75,24,17,7
0.86,100.92,29.52,29.6,0.051,336.194,14,9,5
0.86,100.96,29.68,29.6,0.02,45,17,14,3
0.86,101,29.62,30,0.02,45,20,6,14
0.862,101,29.64,30,0,0,16,12,3
0.865,101,29.42,29.4,0.056,14.639,21,5,15
0.866,101,29.12,30,0.059,37.543,19,14,5
0.857,101,28.88,30.6,0,0,22,12,8
0.854,101,28.66,31.2,0.089,35.876,17,13,2
0.843,100.96,28.48,31,0.13,19.114,27,12,12
0.844,100.96,28.32,31.6,0.135,61.482,20,9,9
0.848,100.94,28.14,32,0.076,50.794,26,13,12
0.806,100.92,28.02,32,0.075,34.201,20,9,10
0.828,100.9,27.96,32,0.262,64.153,17,8,7
0.836,100.9,27.82,32.8,0.189,65.185,15,8,7
0.838,101,27.7,33,0.095,31.758,24,14,7
0.838,101,27.7,33,0,0,29,10,15
0.837,101,27.62,33.2,0.095,54.258,21,6,15
0.838,101,27.54,33.8,0.098,53.972,17,7,10
0.822,101,27.42,34,0.248,71.035,21,12,7
0.826,101,27.28,34.2,0.138,61.123,14,7,6
0.822,101,27.2,34.4,0.02,22.5,20,8,11
0.818,101,27.14,35,0.086,31.156,18,9,8
0.828,101,26.98,35,0.039,56.25,26,16,10
0.83,101,26.78,36,0.078,56.25,14,11,3
0.81,101,26.62,36,0.151,44.558,18,10,7
0.772,101,26.5,36,0.292,82.698,16,9,7
0.752,101,26.4,36,0.079,28.07,17,8,9
0.746,101,26.28,36,0.099,18.056,14,8,6
0.78,101,26.18,36.4,0.039,33.75,12,10,2
0.812,101,26.06,36.6,0.02,0,17,9,7
0.83,101,26.1,36.4,0.04,67.5,15,7,8
0.818,101,26.14,36.8,0.02,67.5,13,8,4
0.838,101,26.02,37,0.04,45,11,6,5
0.846,101,25.74,38,0.17,64.912,13,4,9
0.848,101,25.54,39,0.095,31.043,17,12,5
0.838,101,25.5,39,0.1,45,15,6,9
0.85,101,25.56,38.4,0.154,53.569,6,4,2
0.848,101,25.52,38.8,0.289,69.015,16,7,9
0.85,101,25.5,38.66667,0.262,56.25,19,8,11
0.774,101.1,23.46,69.2,1.82,90,16,4,11
0.748,101.1,23.64,69.6,0.26,88.925,19,9,9
0.752,101.1,24.2,67.4,0.628,78.75,15,8,7
0.75,101.1,24.24,67,0.824,82.026,19,15,2
0.746,101.1,23.98,67.4,1.72,90,12,9,3
0.737,101.1,24,67.8,0.855,80.439,16,7,8
0.734,101.1,24.06,67.4,0.726,80.29,12,10,1
0.688,101.1,24.48,66.2,0.184,83.634,20,8,11
0.666,101.1,24.7,64.8,0.561,158.4,20,6,14
0.68,101.1,24.7,65,0.173,85.477,15,9,5
0.684,101.1,24.86,64.4,0.194,92.006,13,6,7
0.693,101.1,25.18,63.8,0.291,58.177,19,8,10
0.706,101.1,25.1,63.2,0.442,114.249,17,13,4
0.69,101.1,25.04,64,0.279,60.235,21,12,7
0.692,101.1,25.36,62.6,0.294,120.372,14,12,2
0.695,101.1,25,63.4,0.455,73.437,14,8,6
0.662,101.1,24.94,64.4,0.368,64.752,19,9,8
0.678,101.1,24.86,63.8,0.406,83.077,14,7,6
0.65,101.1,25.08,63.2,0.277,151.036,15,5,10
0.658,101.1,25.16,63,1.053,92.083,16,10,6
0.668,101.1,25.06,63.6,0.232,65.313,20,10,9
0.675,101.1,25.7,61.8,0.371,109.645,14,8,3
0.656,101.1,25.8,60.8,0.496,110.194,15,8,5
0.662,101.1,25.6,61,0.656,158.837,15,8,7
0.662,101.1,25.64,61,0.297,68.078,23,11,12
0.672,101.08,26.58,58.6,0.149,60.367,9,5,4
0.64,101.1,26.88,57,0.383,130.773,14,9,4
0.67,101.1,26.48,57.2,0.42,166.042,17,9,8
0.632,101.1,26.42,58.2,0.406,122,16,12,3
0.634,101.08,26.68,57.2,0.29,160.186,9,6,3
0.64,101.02,26.52,57.4,0.684,153.943,17,9,6
0.634,101,26.56,57.6,0.574,168.062,16,14,2
0.605,101,26.36,57.6,0.797,162.546,18,9,9
0.644,101,26.36,58,0.778,208.145,11,8,3
0.632,101,25.88,58.8,0.8,157.5,17,13,3
0.664,101,25.96,58.2,0.23,149.59,6,3,3
0.623,101,26.22,57,1.396,187.244,19,6,13
0.622,101,25.9,58.6,0.671,168.25,10,4,5
0.547,101,26.24,58.2,1.429,191.358,7,3,4
0.61,101,25.88,59.2,1.653,186.647,6,5,1
0.613,101,25.86,59.8,0.489,169.683,17,10,7
0.584,101,25.66,59.8,1.138,186.862,17,9,6
0.587,101,25.66,59.8,0.988,182.665,13,8,4
0.592,101,25.86,60,0.68,178.315,18,10,6
0.583,101,25.84,60.2,0.612,172.638,19,8,9
0.59,101,25.74,60.6,0.43,169.906,23,8,13
0.598,101,25.64,60.2,0.605,161.195,11,5,4
0.608,101,25.46,61.2,0.72,188.161,18,12,5
0.617,101,25.64,61.6,0.1,202.5,26,11,13
0.608,101,25.8,60,0.435,156.57,14,10,3
0.6,101,25.78,60.2,0.425,159.255,13,5,7
0.61,101,25.64,60.2,0.647,145.905,10,6,3
0.607,101,25.5,61.4,0.766,178.942,12,5,7
0.572,101,25.72,61.8,0.221,148.998,16,9,7
0.613,101,25.98,60,0.38,147.787,14,6,8
0.604,101,25.86,59.8,0.149,149.352,21,7,13
0.555,101,26.06,60,0.337,166.858,19,11,8
0.438,101,26.3,57.8,0.396,183.323,14,10,4
0.482,101,26.72,57.8,0.189,98.642,16,7,9
0.586,101,26.68,57.8,0.457,126.752,26,9,16
0.588,101,26.54,57.6,0.586,177.055,12,6,5
0.596,101,26.22,58.4,0.444,152.163,13,6,6
0.6,101,26.06,58.2,0.808,185.433,13,5,8
0.548,101,25.9,58.6,1.491,189.751,16,10,5
0.58,101,25.8,58.8,0.888,184.944,16,7,9
0.598,101,25.98,58.8,0.454,184.488,16,7,9
0.598,101,26.12,58,0.656,171.8,16,12,3
0.604,101,26.48,57.4,0.605,56.676,12,5,7
0.577,101,26.3,57.2,0.48,170.959,17,7,9
0.592,101,26.12,57.8,0.546,164.935,16,8,7
0.535,101,26,57.8,0.385,171.043,20,11,9
0.562,101,25.98,58,0.226,162.533,19,9,10
0.582,101,26.28,58.4,0.04,45,15,14,1
0.604,101,26.28,57.2,0.13,87.133,17,7,8
0.6,101,26.46,57,0.089,58.376,14,6,7
0.6,101,26.34,57,0.152,50.794,16,11,5
0.597,101,26.22,57,0.067,167.881,17,9,7
0.556,101,26.18,57.4,0.169,133.233,7,4,3
0.57,101,26.04,58,0.076,28.294,18,9,9
0.58,101,26.1,57.6,0.146,116.808,15,12,2
0.573,101,25.98,59.2,0.02,0,17,6,11
0.556,101,26.1,58.6,0.056,37.139,18,11,6
0.583,101,26.02,58.4,0.112,52.861,17,9,6
0.584,100.98,26.14,58,0.078,56.25,13,3,8
0.578,101,26.02,58,0.234,128.421,20,10,9
0.592,101,25.94,57.8,0.344,175.649,17,10,5
0.617,101,26,58,0.098,58.528,16,10,5
0.586,101,26.02,57.6,0.241,161.849,17,9,8
0.582,100.96,25.96,58,0.02,45,26,8,15
0.572,100.9,26.02,57.8,0.319,146.991,25,10,13
0.563,101,26.04,58,0.055,93.151,18,8,7
0.57,100.96,26.06,58,0.619,162.571,21,7,13
0.598,101,25.9,58,0.321,162.232,15,5,10
0.592,100.96,25.84,58.4,0.16,135.408,21,9,11
0.598,100.96,25.88,58.4,0.057,135,33,13,18
0.576,100.9,25.96,57.6,0.355,148.314,21,6,13
0.612,100.9,26.08,57,0.313,126.996,16,9,5
0.616,100.9,25.98,57,0.328,119.611,21,7,12
0.59,100.94,25.8,58,0.156,137.135,22,9,13
0.602,100.98,25.68,58,0.487,157.226,20,13,6
