NO(ppb),NO2(ppb),CO2(ppm),CO(ppm),CH4(ppm),Pressure,Temperature,Humidity,WindSpeed,WindDirections,TrafficCounts,DieselCounts,GasselCounts
40.775,43.794,480.900,0.872,1.724,100.8,32.44,22,0.983,6.675,17,8,8
40.500,46.740,481.038,0.875,1.727,100.78,33.16,22,1.079,31.886,13,9,3
43.468,50.726,481.536,0.876,1.736,100.8,33.02,21.6,1.705,45.772,18,10,8
42.743,50.927,482.975,0.868,1.747,100.8,32.96,22,1.150,41.539,24,14,9
41.462,46.552,482.284,0.852,1.748,100.8,33.38,21.6,0.752,334.817,16,13,3
45.109,52.813,485.210,0.847,1.755,100.8,33.38,22,1.263,359.524,21,9,12
55.984,47.432,483.584,0.848,1.756,100.8,33.96,21.2,0.801,7.138,11,10,1
80.982,51.528,485.242,0.830,1.757,100.8,34.02,21,0.774,336.187,22,10,11
49.034,42.691,484.464,0.818,1.768,100.7,34.24,21.2,0.495,324.196,13,5,8
67.739,47.682,486.198,0.798,1.763,100.7,34.96,20.2,0.812,350.141,18,7,9
56.096,41.056,486.152,0.812,1.768,100.7,34.94,20.4,0.868,9.766,14,11,3
60.899,43.305,484.865,0.818,1.763,100.7,34.84,20.4,0.683,3.854,15,8,7
57.697,50.890,481.258,0.852,1.744,100.7,34.62,20.4,1.007,0.871,14,8,6
51.543,50.388,483.278,0.855,1.757,100.7,34.7,21,1.140,26.533,11,8,3
58.997,58.532,482.746,0.856,1.760,100.7,34.4,21,0.807,352.688,19,3,15
60.535,52.162,481.873,0.868,1.763,100.7,34.48,20.8,0.778,17.629,16,10,5
68.360,36.602,486.386,0.876,1.772,100.7,34.8,21,1.463,37.263,13,6,7
70.477,52.052,484.973,0.873,1.775,100.7,34.16,21.2,1.980,45.000,22,13,9
49.539,47.730,484.256,0.870,1.784,100.7,34.28,21.6,1.502,36.657,17,10,7
46.173,21.523,484.958,0.872,1.780,100.7,34.68,21,1.349,333.594,14,10,4
70.401,51.048,485.862,0.860,1.780,100.7,34.28,21.4,1.325,336.603,13,6,7
69.418,55.433,485.582,0.858,1.778,100.7,34.22,21.4,1.666,307.078,17,9,8
71.427,52.234,490.628,0.858,1.790,100.7,34.1,21.4,1.027,286.941,14,6,8
76.456,64.938,492.165,0.835,1.785,100.7,33.7,22,1.893,287.397,7,3,4
60.760,41.872,492.742,0.812,1.768,100.7,33.98,22,1.052,294.739,12,8,4
71.207,65.012,489.615,0.842,1.815,100.7,34.48,22,0.967,315.592,13,7,6
70.447,74.480,495.910,0.786,1.826,100.62,34.58,22,0.514,318.166,15,6,8
74.011,58.002,494.623,0.850,1.822,100.6,35.28,21,1.236,43.935,8,6,2
77.913,63.480,496.650,0.832,1.840,100.6,35.02,21.8,1.677,55.114,10,8,2
39.095,35.415,497.290,0.845,1.820,100.6,35.18,21.4,1.703,42.940,11,5,4
75.034,61.555,500.050,0.790,1.825,100.6,35.3,21.6,0.774,4.535,13,9,2
96.315,56.518,500.825,0.807,1.883,100.6,35.32,22,1.160,322.112,18,12,6
80.618,55.858,494.280,0.828,1.864,100.6,35.34,22,2.027,37.381,7,3,4
84.793,54.400,494.362,0.827,1.862,100.6,35.3,22,1.139,3.080,13,6,7
96.457,52.598,493.110,0.834,1.872,100.6,35.22,22.4,2.248,39.727,23,7,16
84.247,61.592,497.853,0.808,1.892,100.6,35.28,22.8,1.660,44.472,24,7,16
105.653,51.830,499.078,0.804,1.914,100.6,35,23,1.554,346.329,15,4,9
91.348,61.187,487.528,0.787,1.912,100.6,35.4,23,0.959,316.680,7,3,4
88.296,60.632,495.724,0.786,1.914,100.6,35.84,23,0.970,344.100,13,8,4
103.362,65.072,496.753,0.783,1.910,100.6,35.82,23,1.865,35.789,11,7,3
113.184,74.080,504.014,0.760,1.942,100.58,35.74,23,1.717,52.169,21,10,10
100.321,56.363,500.398,0.767,1.920,100.5,35.5,23.2,2.287,73.070,16,10,5
89.413,63.638,502.528,0.734,1.944,100.5,35.56,23.4,1.046,33.918,15,11,4
108.914,66.620,520.387,0.732,1.962,100.5,35.56,23.4,0.497,29.308,13,8,5
120.249,57.763,495.846,0.730,2.050,100.5,35.9,23,0.246,236.339,10,6,4
128.140,78.852,497.007,0.738,2.023,100.5,35.8,23.4,2.296,80.600,15,12,2
110.963,56.784,502.018,0.732,2.118,100.5,35.48,23.4,1.019,79.442,18,10,8
91.789,62.878,503.060,0.722,1.952,100.5,35.72,23.8,0.565,356.119,15,8,6
84.444,57.054,502.556,0.728,1.962,100.5,36.44,23,0.863,70.042,18,10,6
103.184,50.087,504.057,0.710,1.952,100.5,36.08,23,0.666,177.365,6,2,4
94.514,73.008,510.178,0.714,2.004,100.5,36.02,23.4,0.517,122.315,16,7,9
106.581,69.423,501.427,0.720,2.017,100.5,36.26,23,0.655,6.202,8,6,2
104.271,65.662,504.142,0.722,1.948,100.5,36.44,23,0.699,352.216,15,8,7
105.213,70.095,512.097,0.688,1.950,100.5,36.3,23,1.090,310.972,14,8,6
82.111,61.086,504.392,0.712,2.046,100.5,36.54,22.8,0.721,343.590,20,12,7
101.044,73.308,506.898,0.707,2.112,100.5,36.32,23.4,0.216,112.810,19,10,7
105.753,82.242,503.108,0.740,2.212,100.5,36.14,24.2,0.999,95.352,14,5,8
97.254,71.334,503.104,0.728,2.052,100.5,35.48,24,1.774,69.973,8,3,5
82.060,69.583,504.158,0.728,2.037,100.5,35.56,24,2.429,62.983,19,11,7
96.285,68.966,505.614,0.722,2.042,100.5,35.66,24,2.257,54.170,19,9,10
102.862,66.663,503.923,0.727,2.095,100.5,35.66,23.6,2.026,69.665,17,8,9
98.255,63.590,501.208,0.728,1.936,100.5,35.5,23.4,1.238,38.648,12,5,6
95.176,72.102,502.345,0.735,2.092,100.5,36.06,23,1.307,70.857,19,7,8
89.298,68.798,502.632,0.730,1.936,100.5,35.8,23,2.414,80.695,19,12,7
103.348,60.953,500.528,0.732,1.940,100.5,35.56,23.4,1.323,71.148,27,17,10
92.958,54.378,503.508,0.728,1.940,100.5,35.46,23.2,1.644,48.202,13,6,6
89.755,64.225,502.235,0.728,1.932,100.5,35.3,23.6,1.222,72.172,21,7,12
98.376,72.454,501.186,0.738,2.026,100.5,35.16,23.8,0.785,80.459,18,7,9
79.697,64.817,501.180,0.738,1.912,100.5,35.2,23,1.864,57.809,11,6,4
87.249,60.938,500.942,0.752,1.890,100.5,35.08,23,1.260,45.000,19,12,5
88.111,71.785,501.853,0.753,1.893,100.5,34.86,23,2.180,45.000,13,6,6
80.691,69.404,500.606,0.770,1.876,100.5,34.82,22.8,1.491,55.051,14,8,5
90.613,50.208,499.293,0.757,1.887,100.5,34.92,23,1.458,61.472,15,6,9
88.465,48.906,498.318,0.758,1.878,100.5,34.74,23.2,1.207,41.365,17,10,6
90.341,65.378,502.233,0.730,1.978,100.5,35.02,23,1.240,51.737,16,8,7
79.749,70.726,500.546,0.730,1.900,100.5,35,23.2,2.092,72.326,16,9,7
86.899,58.950,499.875,0.730,1.900,100.5,34.3,24,1.760,90.000,15,5,10
100.853,59.556,499.390,0.742,1.894,100.5,34,24.2,1.648,79.564,20,9,10
83.763,70.972,495.738,0.758,1.880,100.5,33.88,24,1.845,76.811,18,9,7
72.622,50.458,497.526,0.754,1.884,100.5,33.86,24,1.880,67.500,20,8,10
78.617,57.850,496.565,0.758,1.877,100.5,33.88,24,2.156,86.133,18,5,12
74.205,75.984,500.374,0.750,1.858,100.5,33.76,24,2.080,76.815,24,11,11
69.655,51.997,495.015,0.767,1.860,100.5,33.64,24,2.297,86.561,19,11,7
65.009,63.270,492.336,0.778,1.836,100.5,33.6,23.2,2.119,78.117,14,6,7
62.806,65.507,490.090,0.792,1.818,100.5,33.58,23,1.740,67.500,16,7,8
65.590,64.384,489.924,0.790,1.816,100.5,33.42,23,1.618,72.386,25,7,17
62.312,60.870,490.250,0.792,1.815,100.5,33.3,23,2.240,67.500,21,7,13
62.566,59.700,490.576,0.780,1.822,100.5,33.3,23,2.316,86.400,22,8,12
66.976,68.425,490.222,0.773,1.830,100.5,33.24,23.6,1.579,72.507,23,8,14
57.324,67.966,490.950,0.768,1.848,100.5,33.06,24,1.925,81.771,21,6,13
70.874,70.583,494.623,0.730,1.848,100.5,32.86,24.2,1.413,76.535,25,8,16
71.139,62.986,493.940,0.720,1.856,100.5,32.74,25,1.198,76.323,15,5,10
85.084,71.865,496.493,0.697,1.875,100.5,32.66,25,1.544,86.591,19,12,6
68.718,56.296,496.012,0.684,1.872,100.5,32.54,25,1.561,85.783,33,14,16
76.744,64.965,496.637,0.668,1.877,100.5,32.38,26,1.522,85.964,15,5,9
75.780,64.402,497.556,0.658,1.880,100.5,32.18,26,1.433,80.779,12,4,8
74.905,51.720,497.817,0.680,1.890,100.5,31.94,26.2,1.300,90.000,17,9,8
79.308,67.414,497.628,0.708,1.894,100.5,31.78,27,1.700,90.000,13,9,4
83.892,63.480,497.575,0.718,1.905,100.5,31.5,27.4,1.220,90.000,21,11,9
92.844,61.890,492.842,0.720,2.050,100.5,31.2,28,0.876,88.498,20,7,13
93.977,62.770,483.742,0.715,2.497,100.5,30.94,29,0.237,84.430,16,7,8
105.925,59.572,461.988,0.722,2.444,100.5,30.58,29.8,0.234,71.244,18,6,11
107.596,66.998,458.325,0.720,2.418,100.58,30.28,30,0.134,54.839,17,3,14
103.413,66.164,486.128,0.710,2.404,100.6,30.2,30.2,0.197,74.201,15,12,3
97.036,63.747,496.775,0.680,2.417,100.6,30.14,30.8,0.373,76.951,15,3,12
105.851,60.306,498.344,0.670,2.444,100.6,29.94,31,0.471,76.851,12,7,5
115.467,62.183,498.637,0.673,2.458,100.6,29.66,31.2,0.632,72.366,17,4,12
115.275,63.810,502.102,0.668,2.470,100.6,29.14,32,0.726,76.595,14,8,6
108.402,70.643,506.197,0.677,2.342,100.6,28.54,33,0.351,69.998,15,7,8
124.672,50.592,504.320,0.666,2.306,100.6,28.4,33.2,0.680,90.000,14,6,8
96.005,69.793,498.382,0.692,2.445,100.6,28.5,32.8,1.680,90.000,16,11,5
102.007,78.246,496.700,0.702,2.434,100.6,29.2,32,0.758,76.206,12,7,5
103.009,79.423,496.037,0.695,2.367,100.64,29.4,32,0.863,77.714,17,11,5
122.874,77.570,495.702,0.708,2.334,100.7,29.28,32,1.028,85.729,14,9,5
109.438,75.843,496.413,0.702,2.255,100.7,29.08,33,0.962,76.658,15,9,6
118.494,83.542,495.738,0.708,2.148,100.7,28.88,33.4,0.549,71.494,22,12,9
116.584,77.468,496.603,0.710,2.140,100.7,28.8,34,0.295,52.457,16,5,10
110.571,86.228,492.670,0.712,2.234,100.7,28.66,34,0.594,63.804,8,5,2
110.175,85.127,490.772,0.727,2.117,100.7,28.6,34,0.234,28.143,6,3,3
114.996,78.866,492.978,0.728,2.128,100.7,28.54,34,0.471,59.097,12,10,2
117.317,80.522,492.730,0.730,2.132,100.7,28.28,34.8,0.205,45.326,14,8,6
117.181,80.552,492.018,0.728,2.132,100.7,28.1,35,0.300,46.460,14,7,6
122.569,81.722,492.042,0.735,2.137,100.7,27.92,35.2,0.309,43.583,14,8,5
113.463,81.494,490.122,0.742,2.126,100.7,27.74,35.8,0.350,41.240,10,3,7
128.098,83.990,489.665,0.752,2.132,100.7,27.66,36,0.580,78.926,7,5,2
118.303,85.500,486.782,0.754,2.114,100.8,27.48,35.8,0.457,65.581,12,7,4
119.336,80.895,485.012,0.757,2.193,100.8,27.46,35,0.558,63.571,7,5,2
113.958,87.302,484.488,0.770,2.258,100.8,27.42,35,0.225,53.274,6,5,1
101.227,91.258,479.105,0.790,2.340,100.8,27.4,35,0.274,45.000,10,5,5
28.066,14.292,485.192,0.826,1.870,101.1,30.02,30.6,0.570,152.221,13,7,5
22.369,12.768,483.120,0.833,1.815,101.1,29.48,30,1.181,167.581,12,6,6
25.786,15.011,485.714,0.780,1.844,101.06,29.5,30.6,0.830,153.270,17,8,9
25.993,12.383,479.435,0.843,1.842,101,29.8,30.6,0.507,130.933,14,8,5
22.963,14.234,480.704,0.846,1.826,101,30.48,29.6,0.826,164.417,22,13,8
21.288,12.912,483.342,0.817,1.803,101,30.38,28.6,0.752,157.956,21,12,9
18.178,10.720,477.758,0.864,1.776,101.04,30.86,28.2,0.500,90.000,16,11,4
21.977,13.239,480.388,0.852,1.798,101,31.7,26.6,0.821,162.730,14,7,7
20.128,11.963,483.086,0.848,1.768,101,31.42,26.4,0.389,146.113,17,9,8
32.871,11.779,483.570,0.843,1.778,101,31.88,26.2,0.348,105.304,23,16,6
14.246,11.985,485.528,0.812,1.754,101.04,31.84,25.6,0.652,137.377,21,13,8
17.412,12.034,482.743,0.822,1.770,101.08,32,26,0.593,69.156,13,10,3
13.485,12.167,482.802,0.816,1.770,101.04,32.26,25.4,0.574,96.363,14,8,6
19.831,12.005,480.700,0.843,1.797,101,32.94,24.8,0.505,98.642,20,14,6
20.435,13.318,482.898,0.840,1.806,101.02,32.6,25,1.276,77.172,17,9,7
17.938,10.772,480.830,0.838,1.770,101,31.78,25.2,1.121,76.029,18,10,6
10.136,10.577,484.608,0.802,1.752,101,31.92,25,0.272,108.789,21,9,11
13.532,10.913,487.478,0.807,1.775,101,32.1,24.6,1.662,86.585,24,14,10
12.409,12.632,485.854,0.810,1.768,101,31.66,26,0.800,122.381,20,8,12
10.316,10.845,487.023,0.807,1.738,101,31.52,25,0.730,130.225,8,4,4
12.083,11.315,486.846,0.800,1.794,101,31.74,25.8,0.800,111.535,13,9,3
13.544,12.110,487.932,0.808,1.763,101,32.36,25.2,0.407,131.867,18,10,5
8.772,10.862,484.922,0.812,1.748,101,32.26,24.6,0.326,140.385,10,6,3
14.894,12.384,484.255,0.792,1.802,101,32.2,25.6,0.468,62.808,22,10,10
16.916,11.947,480.272,0.850,1.792,101,32.16,25.8,0.409,91.400,9,3,4
18.625,11.535,480.322,0.847,1.813,101,31.88,25.8,0.345,45.963,18,10,6
21.333,11.630,484.844,0.802,1.810,101,32.12,25.8,0.321,84.415,15,10,5
15.477,11.352,481.748,0.830,1.775,101,31.92,25.4,0.424,107.119,17,10,6
22.796,12.593,475.106,0.836,1.816,101,31.92,26,0.701,83.756,16,4,9
18.653,12.837,480.535,0.828,1.810,101,31.44,26.8,0.605,79.234,18,12,4
16.147,12.784,482.968,0.826,1.822,101,31.4,27,0.484,77.033,15,7,8
21.224,11.805,482.595,0.817,1.780,101,31.76,25.8,0.641,145.281,15,11,4
14.016,11.497,482.678,0.828,1.784,101,31.76,26.2,0.320,149.724,12,8,4
15.112,11.878,483.478,0.818,1.787,101,31.72,26.2,0.794,149.680,20,9,10
10.490,11.449,483.500,0.836,1.750,101,31.3,25.6,1.940,180.000,9,4,5
11.913,10.839,485.213,0.813,1.740,101,30.9,25.8,1.567,177.200,9,6,3
12.409,11.899,487.248,0.792,1.738,101,30.9,25.6,1.642,184.010,12,8,3
13.394,12.090,487.380,0.810,1.738,101,30.92,25.2,1.880,180.000,17,11,5
9.179,11.025,482.984,0.832,1.728,101,30.92,25,1.680,180.000,10,8,1
11.064,11.441,485.648,0.815,1.737,101,30.96,25.2,0.781,169.958,17,12,4
11.693,11.111,484.290,0.832,1.758,101,31.4,25.4,0.621,171.613,9,6,2
11.401,11.839,486.947,0.778,1.752,101,31.32,25.6,1.295,169.441,15,9,6
14.098,11.185,484.252,0.832,1.722,101,31.22,24.8,1.234,159.408,14,13,1
8.585,11.823,481.913,0.845,1.717,101,31.04,25,1.005,157.303,11,8,3
16.706,12.115,479.388,0.854,1.786,101,31.06,25.6,0.237,141.938,13,8,2
12.971,11.170,481.862,0.848,1.743,101,31.38,25.4,0.670,165.179,13,5,7
10.940,12.029,483.468,0.840,1.724,101,31.4,24.8,0.790,161.423,18,12,6
12.022,11.566,482.603,0.840,1.718,101,31.34,24.6,1.232,159.636,14,9,5
9.230,11.131,482.522,0.828,1.732,101,31.38,25.2,0.554,140.252,11,9,1
10.705,11.446,482.740,0.840,1.727,101,31.8,24.2,1.224,175.338,10,8,1
10.964,11.259,481.310,0.822,1.734,101,31.66,24.6,0.452,160.570,39,7,30
