CH4(ppm),Pressure,Temperature,Humidity,WindSpeed,WindDirections,TrafficCounts,DieselCounts,GasselCounts
1.856,100.5,32.74,25,1.198,76.323,15,5,10
1.875,100.5,32.66,25,1.544,86.591,19,12,6
1.872,100.5,32.54,25,1.561,85.783,33,14,16
1.877,100.5,32.38,26,1.522,85.964,15,5,9
1.88,100.5,32.18,26,1.433,80.779,12,4,8
1.89,100.5,31.94,26.2,1.3,90,17,9,8
1.894,100.5,31.78,27,1.7,90,13,9,4
1.905,100.5,31.5,27.4,1.22,90,21,11,9
2.05,100.5,31.2,28,0.876,88.498,20,7,13
2.497,100.5,30.94,29,0.237,84.43,16,7,8
2.444,100.5,30.58,29.8,0.234,71.244,18,6,11
2.418,100.58,30.28,30,0.134,54.839,17,3,14
2.404,100.6,30.2,30.2,0.197,74.201,15,12,3
2.417,100.6,30.14,30.8,0.373,76.951,15,3,12
2.444,100.6,29.94,31,0.471,76.851,12,7,5
2.458,100.6,29.66,31.2,0.632,72.366,17,4,12
2.47,100.6,29.14,32,0.726,76.595,14,8,6
2.342,100.6,28.54,33,0.351,69.998,15,7,8
2.306,100.6,28.4,33.2,0.68,90,14,6,8
2.445,100.6,28.5,32.8,1.68,90,16,11,5
2.434,100.6,29.2,32,0.758,76.206,12,7,5
2.367,100.64,29.4,32,0.863,77.714,17,11,5
2.334,100.7,29.28,32,1.028,85.729,14,9,5
2.255,100.7,29.08,33,0.962,76.658,15,9,6
2.148,100.7,28.88,33.4,0.549,71.494,22,12,9
2.14,100.7,28.8,34,0.295,52.457,16,5,10
2.234,100.7,28.66,34,0.594,63.804,8,5,2
2.117,100.7,28.6,34,0.234,28.143,6,3,3
2.128,100.7,28.54,34,0.471,59.097,12,10,2
2.132,100.7,28.28,34.8,0.205,45.326,14,8,6
2.132,100.7,28.1,35,0.3,46.46,14,7,6
2.137,100.7,27.92,35.2,0.309,43.583,14,8,5
2.126,100.7,27.74,35.8,0.35,41.24,10,3,7
2.132,100.7,27.66,36,0.58,78.926,7,5,2
2.114,100.8,27.48,35.8,0.457,65.581,12,7,4
2.193,100.8,27.46,35,0.558,63.571,7,5,2
2.258,100.8,27.42,35,0.225,53.274,6,5,1
2.34,100.8,27.4,35,0.274,45,10,5,5
1.87,101.1,30.02,30.6,0.57,152.221,13,7,5
1.815,101.1,29.48,30,1.181,167.581,12,6,6
1.844,101.06,29.5,30.6,0.83,153.27,17,8,9
1.842,101,29.8,30.6,0.507,130.933,14,8,5
1.826,101,30.48,29.6,0.826,164.417,22,13,8
1.803,101,30.38,28.6,0.752,157.956,21,12,9
1.776,101.04,30.86,28.2,0.5,90,16,11,4
1.798,101,31.7,26.6,0.821,162.73,14,7,7
1.768,101,31.42,26.4,0.389,146.113,17,9,8
1.778,101,31.88,26.2,0.348,105.304,23,16,6
1.754,101.04,31.84,25.6,0.652,137.377,21,13,8
1.77,101.08,32,26,0.593,69.156,13,10,3
1.77,101.04,32.26,25.4,0.574,96.363,14,8,6
1.797,101,32.94,24.8,0.505,98.642,20,14,6
1.806,101.02,32.6,25,1.276,77.172,17,9,7
1.77,101,31.78,25.2,1.121,76.029,18,10,6
1.752,101,31.92,25,0.272,108.789,21,9,11
1.775,101,32.1,24.6,1.662,86.585,24,14,10
1.768,101,31.66,26,0.8,122.381,20,8,12
1.738,101,31.52,25,0.73,130.225,8,4,4
1.794,101,31.74,25.8,0.8,111.535,13,9,3
1.763,101,32.36,25.2,0.407,131.867,18,10,5
1.748,101,32.26,24.6,0.326,140.385,10,6,3
1.802,101,32.2,25.6,0.468,62.808,22,10,10
1.792,101,32.16,25.8,0.409,91.4,9,3,4
1.813,101,31.88,25.8,0.345,45.963,18,10,6
1.81,101,32.12,25.8,0.321,84.415,15,10,5
1.775,101,31.92,25.4,0.424,107.119,17,10,6
1.816,101,31.92,26,0.701,83.756,16,4,9
1.81,101,31.44,26.8,0.605,79.234,18,12,4
1.822,101,31.4,27,0.484,77.033,15,7,8
1.78,101,31.76,25.8,0.641,145.281,15,11,4
1.784,101,31.76,26.2,0.32,149.724,12,8,4
1.787,101,31.72,26.2,0.794,149.68,20,9,10
1.75,101,31.3,25.6,1.94,180,9,4,5
1.74,101,30.9,25.8,1.567,177.2,9,6,3
1.738,101,30.9,25.6,1.642,184.01,12,8,3
1.738,101,30.92,25.2,1.88,180,17,11,5
1.728,101,30.92,25,1.68,180,10,8,1
1.737,101,30.96,25.2,0.781,169.958,17,12,4
1.758,101,31.4,25.4,0.621,171.613,9,6,2
1.752,101,31.32,25.6,1.295,169.441,15,9,6
1.722,101,31.22,24.8,1.234,159.408,14,13,1
1.717,101,31.04,25,1.005,157.303,11,8,3
1.786,101,31.06,25.6,0.237,141.938,13,8,2
1.743,101,31.38,25.4,0.67,165.179,13,5,7
1.724,101,31.4,24.8,0.79,161.423,18,12,6
1.718,101,31.34,24.6,1.232,159.636,14,9,5
1.732,101,31.38,25.2,0.554,140.252,11,9,1
1.727,101,31.8,24.2,1.224,175.338,10,8,1
1.734,101,31.66,24.6,0.452,160.57,39,7,30
1.752,101,32.18,24.8,0.756,158.619,41,6,29
1.74,101,32.1,24,1.065,165.761,15,8,6
1.782,101,32,24.8,0.466,78.611,9,6,2
1.766,101,31.88,25,0.652,142.013,14,7,7
1.725,101,31.82,24.4,0.659,169.825,14,4,8
1.712,101,31.38,24.4,1.98,180,10,3,6
1.73,100.98,31.1,25,1.769,181.983,18,11,7
1.762,100.92,31.24,25.6,0.749,132.374,13,10,3
1.76,100.9,31.5,25.6,0.791,140.676,18,8,8
1.818,100.9,31.9,25.6,0.374,133.106,26,6,19
1.735,100.9,31.66,24.6,0.67,142.621,16,10,6
1.758,100.9,31.66,25.8,0.308,147.03,15,9,6
1.765,100.9,31.74,26,0.442,114.723,8,2,6
1.736,100.9,31.48,25.4,0.409,145.53,9,7,2
1.758,100.9,31.56,25.8,0.298,102.871,8,5,2
1.738,100.94,31.34,25.4,0.816,170.371,10,3,7
1.737,100.94,31.12,25.6,0.345,102.936,15,5,7
1.742,100.94,30.94,26,0.513,147.682,23,12,10
1.732,100.98,30.82,25.2,0.99,176.453,21,10,8
1.71,100.96,30.72,25,1.228,174.441,17,10,7
1.797,100.98,30.7,26.8,0.188,49.659,9,8,1
1.804,100.98,30.6,27.2,0.238,29.331,15,8,6
1.72,100.96,30.54,25.6,0.601,162.954,11,5,6
1.772,100.9,30.44,26.8,0.565,128.593,20,15,4
1.76,100.98,30.46,26.2,0.845,164.821,16,10,5
1.743,100.96,30.4,26.2,1.046,159.597,20,13,6
1.746,101,30.48,26.8,0.072,146.19,14,11,2
1.767,101,30.52,27,0.204,65.628,16,6,9
1.728,100.96,30.32,26,0.241,109.166,15,8,7
1.742,100.9,30.16,26.2,0.143,69.236,22,8,11
1.724,100.9,30.06,26.4,0.084,131.895,13,8,4
1.777,100.9,29.78,27.4,0.08,45,17,10,6
1.794,100.9,29.58,28,0.107,41.515,11,5,6
1.808,100.9,29.4,28.6,0.04,337.5,21,5,14
1.802,100.9,29.4,29,0.072,123.69,18,12,5
1.783,100.9,29.3,28.2,0.082,83.169,20,11,9
1.798,100.9,29.3,28,0.33,148.597,20,8,10
1.828,100.9,29.32,28.8,0.037,22.5,13,5,6
1.806,100.9,29.34,29,0.045,85.935,13,7,6
1.785,100.9,29.34,29.2,0.057,22.5,17,6,11
1.784,100.9,29.4,28.6,0.247,143.436,17,10,6
1.837,100.9,29.4,29.2,0.112,79.248,18,9,7
1.808,100.9,29.48,29.2,0.078,33.75,24,17,7
1.843,100.92,29.52,29.6,0.051,336.194,14,9,5
1.844,100.96,29.68,29.6,0.02,45,17,14,3
1.85,101,29.62,30,0.02,45,20,6,14
1.852,101,29.64,30,0,0,16,12,3
1.845,101,29.42,29.4,0.056,14.639,21,5,15
1.846,101,29.12,30,0.059,37.543,19,14,5
1.832,101,28.88,30.6,0,0,22,12,8
1.85,101,28.66,31.2,0.089,35.876,17,13,2
1.838,100.96,28.48,31,0.13,19.114,27,12,12
1.826,100.96,28.32,31.6,0.135,61.482,20,9,9
1.833,100.94,28.14,32,0.076,50.794,26,13,12
1.834,100.92,28.02,32,0.075,34.201,20,9,10
1.85,100.9,27.96,32,0.262,64.153,17,8,7
1.844,100.9,27.82,32.8,0.189,65.185,15,8,7
1.848,101,27.7,33,0.095,31.758,24,14,7
1.858,101,27.7,33,0,0,29,10,15
1.865,101,27.62,33.2,0.095,54.258,21,6,15
1.864,101,27.54,33.8,0.098,53.972,17,7,10
1.868,101,27.42,34,0.248,71.035,21,12,7
1.872,101,27.28,34.2,0.138,61.123,14,7,6
1.867,101,27.2,34.4,0.02,22.5,20,8,11
1.86,101,27.14,35,0.086,31.156,18,9,8
1.868,101,26.98,35,0.039,56.25,26,16,10
1.88,101,26.78,36,0.078,56.25,14,11,3
1.885,101,26.62,36,0.151,44.558,18,10,7
1.88,101,26.5,36,0.292,82.698,16,9,7
1.883,101,26.4,36,0.079,28.07,17,8,9
1.88,101,26.28,36,0.099,18.056,14,8,6
1.862,101,26.18,36.4,0.039,33.75,12,10,2
1.858,101,26.06,36.6,0.02,0,17,9,7
1.843,101,26.1,36.4,0.04,67.5,15,7,8
1.85,101,26.14,36.8,0.02,67.5,13,8,4
1.867,101,26.02,37,0.04,45,11,6,5
1.876,101,25.74,38,0.17,64.912,13,4,9
1.885,101,25.54,39,0.095,31.043,17,12,5
1.89,101,25.5,39,0.1,45,15,6,9
1.875,101,25.56,38.4,0.154,53.569,6,4,2
1.882,101,25.52,38.8,0.289,69.015,16,7,9
1.872,101,25.5,38.66667,0.262,56.25,19,8,11
2.305,101.1,23.46,69.2,1.82,90,16,4,11
2.301,101.1,23.64,69.6,0.26,88.925,19,9,9
2.309,101.1,24.2,67.4,0.628,78.75,15,8,7
2.311,101.1,24.24,67,0.824,82.026,19,15,2
2.3,101.1,23.98,67.4,1.72,90,12,9,3
2.305,101.1,24,67.8,0.855,80.439,16,7,8
2.293,101.1,24.06,67.4,0.726,80.29,12,10,1
2.295,101.1,24.48,66.2,0.184,83.634,20,8,11
2.289,101.1,24.7,64.8,0.561,158.4,20,6,14
2.298,101.1,24.7,65,0.173,85.477,15,9,5
2.296,101.1,24.86,64.4,0.194,92.006,13,6,7
2.293,101.1,25.18,63.8,0.291,58.177,19,8,10
2.286,101.1,25.1,63.2,0.442,114.249,17,13,4
2.305,101.1,25.04,64,0.279,60.235,21,12,7
2.3,101.1,25.36,62.6,0.294,120.372,14,12,2
2.317,101.1,25,63.4,0.455,73.437,14,8,6
2.316,101.1,24.94,64.4,0.368,64.752,19,9,8
2.31,101.1,24.86,63.8,0.406,83.077,14,7,6
2.302,101.1,25.08,63.2,0.277,151.036,15,5,10
2.307,101.1,25.16,63,1.053,92.083,16,10,6
2.313,101.1,25.06,63.6,0.232,65.313,20,10,9
2.311,101.1,25.7,61.8,0.371,109.645,14,8,3
2.305,101.1,25.8,60.8,0.496,110.194,15,8,5
2.302,101.1,25.6,61,0.656,158.837,15,8,7
2.313,101.1,25.64,61,0.297,68.078,23,11,12
2.305,101.08,26.58,58.6,0.149,60.367,9,5,4
2.301,101.1,26.88,57,0.383,130.773,14,9,4
2.287,101.1,26.48,57.2,0.42,166.042,17,9,8
2.304,101.1,26.42,58.2,0.406,122,16,12,3
2.295,101.08,26.68,57.2,0.29,160.186,9,6,3
2.295,101.02,26.52,57.4,0.684,153.943,17,9,6
2.28,101,26.56,57.6,0.574,168.062,16,14,2
2.298,101,26.36,57.6,0.797,162.546,18,9,9
2.307,101,26.36,58,0.778,208.145,11,8,3
2.286,101,25.88,58.8,0.8,157.5,17,13,3
2.282,101,25.96,58.2,0.23,149.59,6,3,3
2.275,101,26.22,57,1.396,187.244,19,6,13
2.28,101,25.9,58.6,0.671,168.25,10,4,5
2.299,101,26.24,58.2,1.429,191.358,7,3,4
2.3,101,25.88,59.2,1.653,186.647,6,5,1
2.308,101,25.86,59.8,0.489,169.683,17,10,7
2.298,101,25.66,59.8,1.138,186.862,17,9,6
2.295,101,25.66,59.8,0.988,182.665,13,8,4
2.304,101,25.86,60,0.68,178.315,18,10,6
2.311,101,25.84,60.2,0.612,172.638,19,8,9
2.311,101,25.74,60.6,0.43,169.906,23,8,13
2.301,101,25.64,60.2,0.605,161.195,11,5,4
2.336,101,25.46,61.2,0.72,188.161,18,12,5
2.333,101,25.64,61.6,0.1,202.5,26,11,13
2.298,101,25.8,60,0.435,156.57,14,10,3
2.307,101,25.78,60.2,0.425,159.255,13,5,7
2.3,101,25.64,60.2,0.647,145.905,10,6,3
2.31,101,25.5,61.4,0.766,178.942,12,5,7
2.318,101,25.72,61.8,0.221,148.998,16,9,7
2.308,101,25.98,60,0.38,147.787,14,6,8
2.298,101,25.86,59.8,0.149,149.352,21,7,13
2.311,101,26.06,60,0.337,166.858,19,11,8
2.298,101,26.3,57.8,0.396,183.323,14,10,4
2.311,101,26.72,57.8,0.189,98.642,16,7,9
2.325,101,26.68,57.8,0.457,126.752,26,9,16
2.33,101,26.54,57.6,0.586,177.055,12,6,5
2.304,101,26.22,58.4,0.444,152.163,13,6,6
2.298,101,26.06,58.2,0.808,185.433,13,5,8
2.289,101,25.9,58.6,1.491,189.751,16,10,5
2.292,101,25.8,58.8,0.888,184.944,16,7,9
2.305,101,25.98,58.8,0.454,184.488,16,7,9
2.313,101,26.12,58,0.656,171.8,16,12,3
2.327,101,26.48,57.4,0.605,56.676,12,5,7
2.289,101,26.3,57.2,0.48,170.959,17,7,9
2.291,101,26.12,57.8,0.546,164.935,16,8,7
2.292,101,26,57.8,0.385,171.043,20,11,9
2.307,101,25.98,58,0.226,162.533,19,9,10
2.332,101,26.28,58.4,0.04,45,15,14,1
2.313,101,26.28,57.2,0.13,87.133,17,7,8
2.304,101,26.46,57,0.089,58.376,14,6,7
2.282,101,26.34,57,0.152,50.794,16,11,5
2.299,101,26.22,57,0.067,167.881,17,9,7
2.307,101,26.18,57.4,0.169,133.233,7,4,3
2.315,101,26.04,58,0.076,28.294,18,9,9
2.304,101,26.1,57.6,0.146,116.808,15,12,2
2.324,101,25.98,59.2,0.02,0,17,6,11
2.307,101,26.1,58.6,0.056,37.139,18,11,6
2.308,101,26.02,58.4,0.112,52.861,17,9,6
2.32,100.98,26.14,58,0.078,56.25,13,3,8
2.281,101,26.02,58,0.234,128.421,20,10,9
2.279,101,25.94,57.8,0.344,175.649,17,10,5
2.308,101,26,58,0.098,58.528,16,10,5
2.286,101,26.02,57.6,0.241,161.849,17,9,8
2.283,100.96,25.96,58,0.02,45,26,8,15
2.279,100.9,26.02,57.8,0.319,146.991,25,10,13
2.292,101,26.04,58,0.055,93.151,18,8,7
2.287,100.96,26.06,58,0.619,162.571,21,7,13
2.281,101,25.9,58,0.321,162.232,15,5,10
2.282,100.96,25.84,58.4,0.16,135.408,21,9,11
2.287,100.96,25.88,58.4,0.057,135,33,13,18
2.271,100.9,25.96,57.6,0.355,148.314,21,6,13
2.263,100.9,26.08,57,0.313,126.996,16,9,5
2.263,100.9,25.98,57,0.328,119.611,21,7,12
2.271,100.94,25.8,58,0.156,137.135,22,9,13
2.268,100.98,25.68,58,0.487,157.226,20,13,6
